date,match_date,from,to,tournament,score
19901029,1990-10-29,Ivan Lendl,Jonas Svensson,Paris Masters,3-6 6-4 6-2
19901211,1990-12-11,Jonas Svensson,Brad Gilbert,Grand Slam Cup,2-6 6-3 6-4
19901211,1990-12-11,Brad Gilbert,Pete Sampras,Grand Slam Cup,6-3 6-4 6-2
19910211,1991-02-11,Pete Sampras,Ivan Lendl,Philadelphia,5-7 6-4 6-4 3-6 6-3
19910225,1991-02-25,Ivan Lendl,Omar Camporese,Rotterdam,3-6 7-6(4) 7-6(4)
19910401,1991-04-01,Omar Camporese,Karel Novacek,Estoril,6-1 6-3
19910401,1991-04-01,Karel Novacek,Sergi Bruguera,Estoril,7-6(7) 6-1
19910408,1991-04-08,Sergi Bruguera,Emilio Sanchez,Barcelona,6-4 7-6(7) 6-2
19910422,1991-04-22,Emilio Sanchez,Alberto Mancini,Monte Carlo Masters,6-3 6-3
19910422,1991-04-22,Alberto Mancini,Sergi Bruguera,Monte Carlo Masters,6-1 6-4
19910429,1991-04-29,Sergi Bruguera,Javier Sanchez,Madrid,3-6 6-1 6-4
19910429,1991-04-29,Javier Sanchez,Marcelo Filippini,Madrid,7-5 6-1
19910506,1991-05-06,Marcelo Filippini,Renzo Furlan,Hamburg Masters,6-3 6-3
19910506,1991-05-06,Renzo Furlan,Yannick Noah,Hamburg Masters,1-6 6-4 6-3
19910513,1991-05-13,Yannick Noah,Sergi Bruguera,Rome Masters,6-1 6-3
19910527,1991-05-27,Sergi Bruguera,Omar Camporese,Roland Garros,1-6 2-6 6-4 1-0 RET
19910610,1991-06-10,Omar Camporese,Thierry Champion,Florence,4-6 6-4 6-3
19910610,1991-06-10,Thierry Champion,Thomas Muster,Florence,4-6 6-3 6-2
19910617,1991-06-17,Thomas Muster,Carl Uwe Steeb,Genova,7-5 6-4
19910624,1991-06-24,Carl Uwe Steeb,Boris Becker,Wimbledon,6-4 6-2 6-4
19910624,1991-06-24,Boris Becker,Michael Stich,Wimbledon,6-4 7-6(4) 6-4
19910708,1991-07-08,Michael Stich,Karel Novacek,Gstaad,6-3 6-4
19910715,1991-07-15,Karel Novacek,Cedric Pioline,Stuttgart Outdoor,6-1 1-6 6-3
19910715,1991-07-15,Cedric Pioline,Francisco Clavet,Stuttgart Outdoor,6-3 6-7(3) 6-1
19910715,1991-07-15,Francisco Clavet,Michael Stich,Stuttgart Outdoor,6-4 6-2
19910826,1991-08-26,Michael Stich,Ivan Lendl,US Open,6-3 3-6 4-6 7-6(5) 6-1
19910826,1991-08-26,Ivan Lendl,Stefan Edberg,US Open,6-3 6-3 6-4
19911021,1991-10-21,Stefan Edberg,Boris Becker,Stockholm Masters,3-6 6-4 1-6 6-2 6-2
19911028,1991-10-28,Boris Becker,Jonas Svensson,Paris Masters,W/O
19920106,1992-01-06,Jonas Svensson,Magnus Gustafsson,Sydney Outdoor,6-4 6-4
19920106,1992-01-06,Magnus Gustafsson,Omar Camporese,Sydney Outdoor,6-3 7-6(3)
19920113,1992-01-13,Omar Camporese,Ivan Lendl,Australian Open,7-6(4) 6-1 6-3
19920113,1992-01-13,Ivan Lendl,Stefan Edberg,Australian Open,4-6 7-5 6-1 6-7(5) 6-1
19920210,1992-02-10,Stefan Edberg,Boris Becker,Brussels,4-6 6-4 6-2
19920217,1992-02-17,Boris Becker,Jan Siemerink,Stuttgart Indoor,6-3 6-4
19920217,1992-02-17,Jan Siemerink,Petr Korda,Stuttgart Indoor,6-4 6-4
19920217,1992-02-17,Petr Korda,Stefan Edberg,Stuttgart Indoor,6-4 6-4
19920224,1992-02-24,Stefan Edberg,Jan Siemerink,Rotterdam,7-6(5) 6-2
19920302,1992-03-02,Jan Siemerink,Pablo Arraya,Copenhagen,7-5 6-2
19920316,1992-03-16,Pablo Arraya,Alberto Berasategui,Casablanca,6-1 6-4
19920316,1992-03-16,Alberto Berasategui,Guillermo Perez Roldan,Casablanca,6-4 6-2
19920420,1992-04-20,Guillermo Perez Roldan,Carlos Costa,Monte Carlo Masters,3-1 RET
19920420,1992-04-20,Carlos Costa,Wayne Ferreira,Monte Carlo Masters,4-6 6-3 6-4
19920504,1992-05-04,Wayne Ferreira,Renzo Furlan,Hamburg Masters,6-7(3) 6-3 6-3
19920511,1992-05-11,Renzo Furlan,Michael Chang,Rome Masters,6-1 3-6 6-3
19920525,1992-05-25,Michael Chang,Nicklas Kulti,Roland Garros,7-6(5) 2-6 6-3 3-6 8-6
19920608,1992-06-08,Nicklas Kulti,Thierry Champion,Florence,4-6 6-1 6-4
19920615,1992-06-15,Thierry Champion,Francisco Montana,Genova,6-1 1-0 RET
19920622,1992-06-22,Francisco Montana,Patrick McEnroe,Wimbledon,6-4 6-1 6-1
19920720,1992-07-20,Patrick McEnroe,Richey Reneberg,Canada Masters,7-6(2) 6-4
19920803,1992-08-03,Richey Reneberg,Sandon Stolle,Los Angeles,6-4 6-4
19920810,1992-08-10,Sandon Stolle,Michael Chang,Cincinnati Masters,6-4 6-3
19920817,1992-08-17,Michael Chang,Ivan Lendl,New Haven,6-3 7-6(7)
19920817,1992-08-17,Ivan Lendl,Stefan Edberg,New Haven,7-6(2) 4-6 6-3
19920824,1992-08-24,Stefan Edberg,Petr Korda,Long Island,7-5 7-5
19920831,1992-08-31,Petr Korda,Emilio Sanchez,US Open,6-2 4-6 2-6 6-1 7-6(4)
19920831,1992-08-31,Emilio Sanchez,Wayne Ferreira,US Open,6-2 6-4 2-6 6-4
19921005,1992-10-05,Wayne Ferreira,Henrik Holm,Sydney Indoor,7-6(5) 3-6 6-4
19921005,1992-10-05,Henrik Holm,Stefan Edberg,Sydney Indoor,6-2 3-6 6-3
19921012,1992-10-12,Stefan Edberg,Alexander Volkov,Tokyo Indoor,6-3 3-6 7-5
19921012,1992-10-12,Alexander Volkov,Henrik Holm,Tokyo Indoor,7-5 6-2
19921012,1992-10-12,Henrik Holm,Ivan Lendl,Tokyo Indoor,7-6(7) 6-4
19921109,1992-11-09,Ivan Lendl,Mark Woodforde,Antwerp,6-4 6-2
19921109,1992-11-09,Mark Woodforde,Richard Krajicek,Antwerp,6-2 6-2
19921116,1992-11-16,Richard Krajicek,Goran Ivanisevic,Tour Finals,6-4 6-3
19921208,1992-12-08,Goran Ivanisevic,Michael Chang,Grand Slam Cup,6-7 6-2 6-4 3-6 6-3
19921208,1992-12-08,Michael Chang,Michael Stich,Grand Slam Cup,6-2 6-3 6-2
19930118,1993-01-18,Michael Stich,Jim Courier,Australian Open,7-6(4) 6-4 6-2
19930215,1993-02-15,Jim Courier,Derrick Rostagno,Philadelphia,7-6(5) 6-1
19930215,1993-02-15,Derrick Rostagno,Mark Woodforde,Philadelphia,7-5 7-5
19930222,1993-02-22,Mark Woodforde,Andre Agassi,Scottsdale,6-2 6-3
19930301,1993-03-01,Andre Agassi,Marc Rosset,Indian Wells Masters,3-6 7-6(5) 6-4
19930312,1993-03-12,Marc Rosset,Patrick McEnroe,Miami Masters,4-6 7-6(2) 6-0
19930405,1993-04-05,Patrick McEnroe,Christian Bergstrom,Tokyo Outdoor,6-4 6-1
19930405,1993-04-05,Christian Bergstrom,Todd Woodbridge,Tokyo Outdoor,3-6 7-6(4) 6-3
19930405,1993-04-05,Todd Woodbridge,Wally Masur,Tokyo Outdoor,6-4 6-0
19930503,1993-05-03,Wally Masur,Bryan Shelton,Tampa,6-4 6-4
19930503,1993-05-03,Bryan Shelton,Richard Fromberg,Tampa,6-7(5) 6-3 7-5
19930510,1993-05-10,Richard Fromberg,Jonathan Stark,Coral Springs,6-0 6-4
19930524,1993-05-24,Jonathan Stark,Stefan Edberg,Roland Garros,6-4 6-4 7-6(4)
19930607,1993-06-07,Stefan Edberg,Jamie Morgan,Queen's Club,4-6 7-6(9) 6-3
19930607,1993-06-07,Jamie Morgan,Michael Stich,Queen's Club,5-7 6-4 8-6
19930621,1993-06-21,Michael Stich,Boris Becker,Wimbledon,7-5 6-7(5) 6-7(5) 6-2 6-4
19930621,1993-06-21,Boris Becker,Pete Sampras,Wimbledon,7-6(5) 6-4 6-4
19930726,1993-07-26,Pete Sampras,Brett Steven,Canada Masters,7-6(6) 6-3
19930726,1993-07-26,Brett Steven,Richey Reneberg,Canada Masters,3-6 6-3 6-2
19930726,1993-07-26,Richey Reneberg,Todd Martin,Canada Masters,6-3 6-4
19930809,1993-08-09,Todd Martin,Andre Agassi,Cincinnati Masters,6-3 6-7(2) 6-3
19930809,1993-08-09,Andre Agassi,Michael Chang,Cincinnati Masters,7-5 1-6 7-5
19930823,1993-08-23,Michael Chang,Marc Rosset,Long Island,6-4 3-6 6-1
19930830,1993-08-30,Marc Rosset,Todd Woodbridge,US Open,5-7 6-0 6-1 7-5
19930927,1993-09-27,Todd Woodbridge,Grant Stafford,Kuala Lumpur-2,6-4 6-0
19930927,1993-09-27,Grant Stafford,Michael Chang,Kuala Lumpur-2,6-1 6-3
19931011,1993-10-11,Michael Chang,Greg Rusedski,Tokyo Indoor,4-6 6-3 7-6(6)
19931011,1993-10-11,Greg Rusedski,Todd Martin,Tokyo Indoor,7-6(5) 6-3
19931025,1993-10-25,Todd Martin,Goran Ivanisevic,Stockholm Masters,6-2 6-4
19931025,1993-10-25,Goran Ivanisevic,Michael Stich,Stockholm Masters,4-6 7-6(6) 7-6(3) 6-2
19931101,1993-11-01,Michael Stich,Stefan Edberg,Paris Masters,6-2 5-7 6-2
19931115,1993-11-15,Stefan Edberg,Goran Ivanisevic,Tour Finals,7-6(3) 6-7(5) 6-3
19931115,1993-11-15,Goran Ivanisevic,Michael Stich,Tour Finals,7-6(2) 7-6(10)
19931207,1993-12-07,Michael Stich,Petr Korda,Grand Slam Cup,2-6 6-4 7-6 2-6 11-9
19940110,1994-01-10,Petr Korda,Pete Sampras,Sydney Outdoor,6-3 6-3
19940214,1994-02-14,Pete Sampras,Jacco Eltingh,Philadelphia,7-6(8) 6-4
19940214,1994-02-14,Jacco Eltingh,Jaime Yzaga,Philadelphia,2-6 7-5 6-2
19940214,1994-02-14,Jaime Yzaga,Paul Haarhuis,Philadelphia,6-3 6-3
19940221,1994-02-21,Paul Haarhuis,Michael Stich,Rotterdam,6-4 6-3
19940328,1994-03-28,Michael Stich,Mark Petchey,Sun City,4-6 7-5 7-6(6)
19940404,1994-04-04,Mark Petchey,David Wheaton,Tokyo Outdoor,6-1 6-4
19940404,1994-04-04,David Wheaton,Michael Chang,Tokyo Outdoor,7-6(3) 6-3
19940404,1994-04-04,Michael Chang,Pete Sampras,Tokyo Outdoor,6-4 6-2
19940516,1994-05-16,Pete Sampras,Michael Stich,Dusseldorf,3-6 7-6(7) 6-2
19940523,1994-05-23,Michael Stich,Aaron Krickstein,Roland Garros,6-3 6-3 6-4
19940523,1994-05-23,Aaron Krickstein,Hendrik Dreekmann,Roland Garros,6-4 6-4 6-4
19940523,1994-05-23,Hendrik Dreekmann,Magnus Larsson,Roland Garros,3-6 6-7(1) 7-6(3) 6-0 6-1
19940613,1994-06-13,Magnus Larsson,Michael Stich,Halle,6-4 4-6 6-3
19940620,1994-06-20,Michael Stich,Bryan Shelton,Wimbledon,6-3 6-3 6-4
19940620,1994-06-20,Bryan Shelton,Christian Bergstrom,Wimbledon,3-6 6-3 3-6 6-3 10-8
19940704,1994-07-04,Christian Bergstrom,Mikael Tillstrom,Bastad,6-2 2-6 7-5
19950529,1995-05-29,Mikael Tillstrom,Bernd Karbacher,Roland Garros,7-6(4) 6-3 6-7(5) 2-6 9-7
19950612,1995-06-12,Bernd Karbacher,Jordi Arrese,Oporto,6-1 6-3
19950619,1995-06-19,Jordi Arrese,Jordi Burillo,St. Poelten,6-3 6-2
19950619,1995-06-19,Jordi Burillo,Slava Dosedel,St. Poelten,6-3 6-7(7) 6-4
19950626,1995-06-26,Slava Dosedel,Jan Siemerink,Wimbledon,6-3 6-2 6-2
19950717,1995-07-17,Jan Siemerink,Tomas Carbonell,Stuttgart Outdoor,6-2 3-6 6-2
19950731,1995-07-31,Tomas Carbonell,Andrew Ilie,Kitzbuhel,6-3 6-2
19950911,1995-09-11,Andrew Ilie,Andrea Gaudenzi,Bucharest,3-6 6-3 6-3
19950911,1995-09-11,Andrea Gaudenzi,Gilbert Schaller,Bucharest,6-3 4-6 6-3
19950911,1995-09-11,Gilbert Schaller,Thomas Muster,Bucharest,6-3 6-4
19951009,1995-10-09,Thomas Muster,Frederik Fetterlein,Tel Aviv,6-2 6-7(1) 6-1
19951009,1995-10-09,Frederik Fetterlein,Stefano Pescosolido,Tel Aviv,6-3 7-6(8)
19951016,1995-10-16,Stefano Pescosolido,Tomas Carbonell,Lyon,3-6 6-4 6-2
19951023,1995-10-23,Tomas Carbonell,Alex Corretja,Santiago,7-5 7-5
19951023,1995-10-23,Alex Corretja,Hernan Gumy,Santiago,7-6(2) 6-1
19951023,1995-10-23,Hernan Gumy,Marcelo Rios,Santiago,3-6 6-4 6-2
19951023,1995-10-23,Marcelo Rios,Slava Dosedel,Santiago,7-6(3) 6-3
19951030,1995-10-30,Slava Dosedel,Galo Blanco,Montevideo,3-6 6-2 7-5
19951106,1995-11-06,Galo Blanco,Jiri Novak,Buenos Aires,6-1 6-0
19960101,1996-01-01,Jiri Novak,Byron Black,Adelaide,6-1 3-6 6-2
19960101,1996-01-01,Byron Black,Yevgeny Kafelnikov,Adelaide,7-6(0) 3-6 6-1
19960115,1996-01-15,Yevgeny Kafelnikov,Boris Becker,Australian Open,6-4 7-6(9) 6-1
19960219,1996-02-19,Boris Becker,Goran Ivanisevic,Antwerp,6-4 7-6(5)
19960219,1996-02-19,Goran Ivanisevic,Michael Stich,Antwerp,6-3 6-2 7-6(5)
19960226,1996-02-26,Michael Stich,Guy Forget,Milan,W/O
19960304,1996-03-04,Guy Forget,Yevgeny Kafelnikov,Rotterdam,6-3 7-6(5)
19960318,1996-03-18,Yevgeny Kafelnikov,Magnus Gustafsson,St. Petersburg,6-2 7-6(4)
19960415,1996-04-15,Magnus Gustafsson,Magnus Larsson,Barcelona,6-3 1-6 7-6(5)
19960415,1996-04-15,Magnus Larsson,Marcelo Rios,Barcelona,2-6 6-1 6-2
19960415,1996-04-15,Marcelo Rios,Thomas Muster,Barcelona,6-3 4-6 6-4 6-1
19960429,1996-04-29,Thomas Muster,Carlos Moya,Munich,6-3 6-3
19960429,1996-04-29,Carlos Moya,Slava Dosedel,Munich,6-4 4-6 6-3
19960506,1996-05-06,Slava Dosedel,Marcelo Rios,Hamburg Masters,6-3 6-4
19960513,1996-05-13,Marcelo Rios,Thomas Muster,Rome Masters,6-3 6-2
19960520,1996-05-20,Thomas Muster,Andrea Gaudenzi,St. Poelten,W/O
19960520,1996-05-20,Andrea Gaudenzi,Felix Mantilla,St. Poelten,6-3 5-7 6-2
19960520,1996-05-20,Felix Mantilla,Marcelo Rios,St. Poelten,6-2 6-4
19960527,1996-05-27,Marcelo Rios,Cedric Pioline,Roland Garros,6-4 6-1 6-2
19960527,1996-05-27,Cedric Pioline,Michael Stich,Roland Garros,6-4 4-6 6-3 6-2
19960527,1996-05-27,Michael Stich,Yevgeny Kafelnikov,Roland Garros,7-6(4) 7-5 7-6(4)
19960617,1996-06-17,Yevgeny Kafelnikov,Nicklas Kulti,Halle,6-7(5) 6-3 6-4
19960624,1996-06-24,Nicklas Kulti,Hicham Arazi,Wimbledon,4-6 6-7(4) 6-4 6-2 6-3
19960624,1996-06-24,Hicham Arazi,Thomas Johansson,Wimbledon,6-4 6-3 6-3
19960624,1996-06-24,Thomas Johansson,Todd Martin,Wimbledon,3-6 6-3 7-5 6-2
19960805,1996-08-05,Todd Martin,Bernd Karbacher,Cincinnati Masters,6-4 4-6 6-4
19960805,1996-08-05,Bernd Karbacher,Goran Ivanisevic,Cincinnati Masters,3-6 6-3 6-3
19960805,1996-08-05,Goran Ivanisevic,Michael Chang,Cincinnati Masters,6-3 7-5
19960819,1996-08-19,Michael Chang,Karol Kucera,Long Island,6-4 6-4
19960826,1996-08-26,Karol Kucera,Jonas Bjorkman,US Open,6-2 5-7 7-6(3) 7-5
19960923,1996-09-23,Jonas Bjorkman,Mikael Tillstrom,Basel,3-6 6-3 6-3
19960923,1996-09-23,Mikael Tillstrom,Pete Sampras,Basel,6-3 6-4
19961021,1996-10-21,Pete Sampras,Boris Becker,Stuttgart Masters,3-6 6-3 3-6 6-3 6-4
19961028,1996-10-28,Boris Becker,Carlos Moya,Paris Masters,6-3 5-7 6-4
19961028,1996-10-28,Carlos Moya,Thomas Enqvist,Paris Masters,6-2 7-6(4)
19961119,1996-11-19,Thomas Enqvist,Yevgeny Kafelnikov,Tour Finals,6-3 7-6(5)
19961203,1996-12-03,Yevgeny Kafelnikov,Goran Ivanisevic,Grand Slam Cup,6-7 2-6 6-3 6-2 6-4
19970106,1997-01-06,Goran Ivanisevic,Tim Henman,Sydney Outdoor,4-6 7-6(1) 6-1
19970113,1997-01-13,Tim Henman,Michael Chang,Australian Open,6-1 7-6(3) 6-3
19970210,1997-02-10,Michael Chang,Greg Rusedski,San Jose,7-6(4) 6-4
19970210,1997-02-10,Greg Rusedski,Pete Sampras,San Jose,3-6 5-0 RET
19970310,1997-03-10,Pete Sampras,Bohdan Ulihrach,Indian Wells Masters,7-6(5) 7-5
19970310,1997-03-10,Bohdan Ulihrach,Michael Chang,Indian Wells Masters,4-6 6-3 6-4 6-3
19970317,1997-03-17,Michael Chang,Sergi Bruguera,Miami Masters,6-4 6-3
19970317,1997-03-17,Sergi Bruguera,Thomas Muster,Miami Masters,7-6(6) 6-3 6-1
19970414,1997-04-14,Thomas Muster,Cedric Pioline,Barcelona,7-6(4) 6-4
19970421,1997-04-21,Cedric Pioline,Alex Corretja,Monte Carlo Masters,6-4 6-3
19970421,1997-04-21,Alex Corretja,Marcelo Rios,Monte Carlo Masters,6-4 6-3 6-3
19970428,1997-04-28,Marcelo Rios,Fabrice Santoro,Prague,4-6 6-3 6-0
19970512,1997-05-12,Fabrice Santoro,Marcelo Rios,Rome Masters,6-2 6-2
19970519,1997-05-19,Marcelo Rios,Tomas Nydahl,St. Poelten,6-4 6-2
19970707,1997-07-07,Tomas Nydahl,Juan Antonio Marin,Bastad,6-2 6-1
19970707,1997-07-07,Juan Antonio Marin,Magnus Norman,Bastad,7-5 6-2
19970714,1997-07-14,Magnus Norman,Javier Sanchez,Stuttgart Outdoor,6-3 7-6(4)
19970714,1997-07-14,Javier Sanchez,Marcelo Rios,Stuttgart Outdoor,6-2 6-3
19970804,1997-08-04,Marcelo Rios,Yevgeny Kafelnikov,Cincinnati Masters,7-5 6-2
19970818,1997-08-18,Yevgeny Kafelnikov,Arnaud Boetsch,Long Island,6-4 7-6(6)
19970818,1997-08-18,Arnaud Boetsch,Richey Reneberg,Long Island,6-4 6-1
19970818,1997-08-18,Richey Reneberg,Thomas Enqvist,Long Island,5-7 6-4 6-2
19970929,1997-09-29,Thomas Enqvist,Greg Rusedski,Basel,7-6(4) 4-6 6-3
19971006,1997-10-06,Greg Rusedski,Goran Ivanisevic,Vienna,3-6 6-7(4) 7-6(4) 6-2 6-3
19971013,1997-10-13,Goran Ivanisevic,Karol Kucera,Ostrava,6-3 RET
19971020,1997-10-20,Karol Kucera,Marcelo Rios,Stuttgart Masters,6-7(7) 6-4 6-4
19971020,1997-10-20,Marcelo Rios,Petr Korda,Stuttgart Masters,6-3 6-4
19971027,1997-10-27,Petr Korda,Pete Sampras,Paris Masters,4-6 7-6(2) 6-4
19971110,1997-11-10,Pete Sampras,Carlos Moya,Tour Finals,6-3 6-7(4) 6-2
19971110,1997-11-10,Carlos Moya,Patrick Rafter,Tour Finals,6-4 6-2
19971110,1997-11-10,Patrick Rafter,Pete Sampras,Tour Finals,6-4 6-1
19980119,1998-01-19,Pete Sampras,Karol Kucera,Australian Open,6-4 6-2 6-7(5) 6-3
19980119,1998-01-19,Karol Kucera,Petr Korda,Australian Open,6-1 6-4 1-6 6-2
19980216,1998-02-16,Petr Korda,Karol Kucera,Antwerp,3-6 6-4 6-2
19980223,1998-02-23,Karol Kucera,Cedric Pioline,London,6-3 4-6 6-2
19980223,1998-02-23,Cedric Pioline,Yevgeny Kafelnikov,London,7-5 6-4
19980302,1998-03-02,Yevgeny Kafelnikov,Thomas Johansson,Rotterdam,7-6(5) 6-2
19980309,1998-03-09,Thomas Johansson,David Prinosil,Copenhagen,3-6 6-4 6-4
19980309,1998-03-09,David Prinosil,Magnus Gustafsson,Copenhagen,3-6 6-1 6-1
19980413,1998-04-13,Magnus Gustafsson,Dominik Hrbaty,Barcelona,5-7 6-4 6-3
19980427,1998-04-27,Dominik Hrbaty,Nicolas Escude,Munich,4-6 6-3 6-1
19980504,1998-05-04,Nicolas Escude,Sergi Bruguera,Hamburg Masters,6-0 6-2
19980511,1998-05-11,Sergi Bruguera,Magnus Norman,Rome Masters,6-3 1-0 RET
19980511,1998-05-11,Magnus Norman,Pete Sampras,Rome Masters,7-6(8) 6-4
19980525,1998-05-25,Pete Sampras,Ramon Delgado,Roland Garros,7-6(6) 6-3 6-4
19980615,1998-06-15,Ramon Delgado,Brett Steven,Nottingham,7-6(5) 6-3
19980615,1998-06-15,Brett Steven,Sargis Sargsian,Nottingham,7-6(8) 6-2
19980622,1998-06-22,Sargis Sargsian,Magnus Larsson,Wimbledon,6-3 6-7(5) 6-3 7-5
19980706,1998-07-06,Magnus Larsson,Fernando Vicente,Bastad,7-6(4) 6-0
19980706,1998-07-06,Fernando Vicente,Karim Alami,Bastad,1-6 7-6(3) 6-4
19980706,1998-07-06,Karim Alami,Thomas Johansson,Bastad,W/O
19980720,1998-07-20,Thomas Johansson,Albert Portas,Stuttgart Outdoor,7-6(2) 6-4
19980727,1998-07-27,Albert Portas,Radomir Vasek,Kitzbuhel,7-5 1-6 6-2
19980727,1998-07-27,Radomir Vasek,Yevgeny Kafelnikov,Kitzbuhel,6-7(2) 6-3 7-6(4)
19980803,1998-08-03,Yevgeny Kafelnikov,Richard Krajicek,Canada Masters,6-4 6-4
19980810,1998-08-10,Richard Krajicek,Vincent Spadea,Cincinnati Masters,6-2 6-3
19980817,1998-08-17,Vincent Spadea,Felix Mantilla,Indianapolis,7-5 7-6(3)
19980817,1998-08-17,Felix Mantilla,Hicham Arazi,Indianapolis,6-2 4-6 6-4
19980817,1998-08-17,Hicham Arazi,Todd Martin,Indianapolis,7-6(4) 7-6(11)
19980831,1998-08-31,Todd Martin,Goran Ivanisevic,US Open,1-6 7-6(5) 7-5 6-3
19980831,1998-08-31,Goran Ivanisevic,Patrick Rafter,US Open,6-3 6-4 4-6 6-1
19981005,1998-10-05,Patrick Rafter,Daniel Vacek,Basel,7-6(7) 7-5
19981005,1998-10-05,Daniel Vacek,Fabrice Santoro,Basel,3-6 6-3 7-6(5)
19981005,1998-10-05,Fabrice Santoro,Thomas Johansson,Basel,6-3 6-3
19981005,1998-10-05,Thomas Johansson,Tim Henman,Basel,6-3 2-6 7-6(5)
19981012,1998-10-12,Tim Henman,Pete Sampras,Vienna,6-0 6-3
19981019,1998-10-19,Pete Sampras,Tommy Haas,Lyon,W/O
19981026,1998-10-26,Tommy Haas,Marcelo Rios,Stuttgart Masters,6-3 7-5
19981026,1998-10-26,Marcelo Rios,Yevgeny Kafelnikov,Stuttgart Masters,W/O
19981102,1998-11-02,Yevgeny Kafelnikov,Greg Rusedski,Paris Masters,6-3 4-6 6-4
19981109,1998-11-09,Greg Rusedski,Thomas Johansson,Stockholm,7-5 7-6(7)
19981109,1998-11-09,Thomas Johansson,Todd Martin,Stockholm,6-3 6-4 6-4
19990118,1999-01-18,Todd Martin,Yevgeny Kafelnikov,Australian Open,6-2 7-6(1) 6-2
19990201,1999-02-01,Yevgeny Kafelnikov,Dominik Hrbaty,Marseille,6-7(4) 6-4 6-2
19990201,1999-02-01,Dominik Hrbaty,Fabrice Santoro,Marseille,6-4 6-3
19990208,1999-02-08,Fabrice Santoro,Jerome Golmard,Dubai,6-4 6-3
19990215,1999-02-15,Jerome Golmard,Wayne Ferreira,Rotterdam,5-7 6-3 7-6(4)
19990222,1999-02-22,Wayne Ferreira,Petr Korda,London,6-3 6-4
19990308,1999-03-08,Petr Korda,Greg Rusedski,Indian Wells Masters,6-3 6-4
