hop,match_date,from,to,tournament,round,score,result,source,corrob,flags,year,wikipedia,atp_archive
0,1968-04-22,,Owen Davidson,Bournemouth,R32,,SEED,backbone,seed,same-day early-era,1968,https://en.wikipedia.org/w/index.php?search=1968%20Bournemouth%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201968%20Bournemouth
10,1968-07-17,Rod Laver,Richard Gonzalez,Los Angeles NTL,F,1-6 6-3 6-4,PLAYED,backbone,S+TML+UTS,source-disagree early-era,1968,https://en.wikipedia.org/w/index.php?search=1968%20Los%20Angeles%20NTL%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201968%20Los%20Angeles%20NTL
11,1968-07-22,Richard Gonzalez,Fred Stolle,Oakland,F,7-5 6-3,PLAYED,backbone,S+UTS,source-disagree early-era,1968,https://en.wikipedia.org/w/index.php?search=1968%20Oakland%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201968%20Oakland
20,1968-10-04,Richard Gonzalez,Roy Emerson,Corpus Christi NTL,QF,7-5 6-0,PLAYED,backbone,S+TML+UTS,source-disagree early-era,1968,https://en.wikipedia.org/w/index.php?search=1968%20Corpus%20Christi%20NTL%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201968%20Corpus%20Christi%20NTL
24,1968-11-15,Roy Emerson,Fred Stolle,Wembley 3,QF,2-3 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1968,https://en.wikipedia.org/w/index.php?search=1968%20Wembley%203%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201968%20Wembley%203
26,1968-11-15,John Newcombe,Ken Rosewall,Wembley 3,F,6-4 4-6 7-5 6-4,PLAYED,backbone,S+TML+UTS,source-disagree early-era,1968,https://en.wikipedia.org/w/index.php?search=1968%20Wembley%203%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201968%20Wembley%203
64,1970-01-10,Nikola Pilic,Mal Anderson,Melbourne,R32,13-11 6-4 3-6 6-3,PLAYED,backbone,S+TML+UTS,source-disagree early-era,1970,https://en.wikipedia.org/w/index.php?search=1970%20Melbourne%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201970%20Melbourne
69,1970-04-21,Rod Laver,Cliff Drysdale,Dallas,R16,4-5 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1970,https://en.wikipedia.org/w/index.php?search=1970%20Dallas%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201970%20Dallas
121,1972-01-22,Ilie Nastase,Clark Graebner,London Indoor,SF,6-3 RET,RET,backbone,S+DH+UTS,result:RET early-era,1972,https://en.wikipedia.org/w/index.php?search=1972%20London%20Indoor%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201972%20London%20Indoor
126,1972-02-14,Richard Gonzalez,Thomaz Koch,Los Angeles,QF,6-1 6-4,PLAYED,backbone,S+UTS,source-disagree early-era,1972,https://en.wikipedia.org/w/index.php?search=1972%20Los%20Angeles%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201972%20Los%20Angeles
127,1972-02-14,Thomaz Koch,Pierre Barthes,Los Angeles,SF,7-6 6-3,PLAYED,backbone,S+UTS,source-disagree early-era,1972,https://en.wikipedia.org/w/index.php?search=1972%20Los%20Angeles%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201972%20Los%20Angeles
154,1973-01-24,Jimmy Connors,Ilie Nastase,Omaha,F,5-0 RET,RET,backbone,S+DH+UTS,result:RET early-era,1973,https://en.wikipedia.org/w/index.php?search=1973%20Omaha%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201973%20Omaha
188,1974-03-30,Bjorn Borg,Ove Bengtson,Tuscon,R32,1-6 7-6 6-4,PLAYED,backbone,S,source-disagree early-era,1974,https://en.wikipedia.org/w/index.php?search=1974%20Tuscon%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201974%20Tuscon
189,1974-03-30,Ove Bengtson,Tom Okker,Tuscon,R16,4-6 7-5 7-5,PLAYED,backbone,S,source-disagree early-era,1974,https://en.wikipedia.org/w/index.php?search=1974%20Tuscon%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201974%20Tuscon
210,1975-04-21,Bob Lutz,Harold Solomon,Houston,QF,6-2 6-3,PLAYED,backbone,S,source-disagree early-era,1975,https://en.wikipedia.org/w/index.php?search=1975%20Houston%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201975%20Houston
253,1976-09-20,Jimmy Connors,Brian Gottfried,Los Angeles,QF,6-6 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1976,https://en.wikipedia.org/w/index.php?search=1976%20Los%20Angeles%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201976%20Los%20Angeles
277,1977-08-31,Bjorn Borg,Dick Stockton,US Open,R16,3-6 6-4 1-0 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1977,https://en.wikipedia.org/w/index.php?search=1977%20US%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201977%20US%20Open
280,1977-09-26,Guillermo Vilas,Ilie Nastase,Aix en Provence,F,6-1 7-5 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1977,https://en.wikipedia.org/w/index.php?search=1977%20Aix%20en%20Provence%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201977%20Aix%20en%20Provence
330,1980-08-11,Bjorn Borg,Ivan Lendl,Montreal / Toronto,F,4-6 5-4 RET,RET,backbone,S+TML+DH+UTS,result:RET early-era,1980,https://en.wikipedia.org/w/index.php?search=1980%20Montreal%20%2F%20Toronto%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201980%20Montreal%20%2F%20Toronto
359,1981-11-02,Vincent Van Patten,Chris Lewis,Hong Kong,R16,6-1 2-6 6-1,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Hong%20Kong%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Hong%20Kong
360,1981-11-02,Chris Lewis,Tim Gullikson,Hong Kong,QF,7-6 6-3,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Hong%20Kong%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Hong%20Kong
365,1981-11-16,Robert Vant Hof,Chris Lewis,Bangkok,R32,6-2 6-3,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Bangkok%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Bangkok
366,1981-11-16,Chris Lewis,Anders Jarryd,Bangkok,R16,6-1 6-2,PLAYED,backbone,S+TML,source-disagree early-era,1981,https://en.wikipedia.org/w/index.php?search=1981%20Bangkok%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201981%20Bangkok
372,1982-03-29,Yannick Noah,Balazs Taroczy,Nice,F,6-2 3-6 13-11,PLAYED,backbone,S+TML+UTS,source-disagree early-era,1982,https://en.wikipedia.org/w/index.php?search=1982%20Nice%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201982%20Nice
519,1990-01-15,Stefan Edberg,Ivan Lendl,Australian Open,F,4-6 7-6 5-2 RET,RET,backbone,S+TML+DH+UTS,result:RET,1990,https://en.wikipedia.org/w/index.php?search=1990%20Australian%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201990%20Australian%20Open
540,1990-10-29,Boris Becker,Stefan Edberg,Paris Masters,F,3-3 RET,RET,backbone,S+TML+DH+UTS,result:RET,1990,https://en.wikipedia.org/w/index.php?search=1990%20Paris%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201990%20Paris%20Masters
562,1991-05-13,Alberto Mancini,Emilio Sanchez,Rome Masters,F,6-3 6-1 3-0 RET,RET,backbone,S+TML+UTS,result:RET,1991,https://en.wikipedia.org/w/index.php?search=1991%20Rome%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201991%20Rome%20Masters
676,1995-01-16,Aaron Krickstein,Andre Agassi,Australian Open,SF,6-4 6-4 3-0 RET,RET,backbone,S+TML+UTS,result:RET,1995,https://en.wikipedia.org/w/index.php?search=1995%20Australian%20Open%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201995%20Australian%20Open
695,1995-10-30,Guy Forget,Daniel Vacek,Paris Masters,R16,5-2 RET,RET,backbone,S+TML+UTS,result:RET,1995,https://en.wikipedia.org/w/index.php?search=1995%20Paris%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201995%20Paris%20Masters
831,1998-11-02,Richard Krajicek,Marc Rosset,Paris Masters,R32,6-4 5-7 2-5 RET,RET,backbone,S+TML+UTS,result:RET,1998,https://en.wikipedia.org/w/index.php?search=1998%20Paris%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201998%20Paris%20Masters
860,1999-08-16,Pete Sampras,Vincent Spadea,Indianapolis,QF,6-4 3-6 RET,RET,backbone,S+TML+UTS,result:RET,1999,https://en.wikipedia.org/w/index.php?search=1999%20Indianapolis%20tennis,https://www.google.com/search?q=site%3Aatptour.com%201999%20Indianapolis
933,2001-05-28,Andy Roddick,Lleyton Hewitt,Roland Garros,R32,6-7(6) 6-4 2-2 RET,RET,backbone,S+TML+UTS,result:RET,2001,https://en.wikipedia.org/w/index.php?search=2001%20Roland%20Garros%20tennis,https://www.google.com/search?q=site%3Aatptour.com%202001%20Roland%20Garros
939,2001-07-30,Tommy Haas,Andrei Pavel,Canada Masters,SF,6-4 5-0 RET,RET,backbone,S+TML+UTS,result:RET,2001,https://en.wikipedia.org/w/index.php?search=2001%20Canada%20Masters%20tennis,https://www.google.com/search?q=site%3Aatptour.com%202001%20Canada%20Masters
944,2001-08-13,Gustavo Kuerten,Patrick Rafter,Indianapolis,F,4-2 RET,RET,backbone,S+TML+UTS,result:RET,2001,https://en.wikipedia.org/w/index.php?search=2001%20Indianapolis%20tennis,https://www.google.com/search?q=site%3Aatptour.com%202001%20Indianapolis
